id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147200, Deep Fried Mozzarella Cheese Sticks, mozzarella cheese, 16, ounces, , 1469.6377, 123.4677, 61.5071, 81.0569, , , 
147560, Paul Grauman's"Wild" Summer Sausage, beef, 30, , ground, 26943.4188, 0.0, 2642.6323, 1732.2713, , , 
147560, Paul Grauman's"Wild" Summer Sausage, pork, 10, , ground, 17055.36, 0.0, 630.9576, 1590.7752, , , 
147560, Paul Grauman's"Wild" Summer Sausage, sugar cure, 1, lb, , 403.4676, 0.0, 89.7602, 2.2667, , , 
147560, Paul Grauman's"Wild" Summer Sausage, pepper, 4, tablespoons, , 69.27600000000001, 17.6502, 2.8676, 0.8998, , , 
147560, Paul Grauman's"Wild" Summer Sausage, garlic powder, 2, tablespoons, , 64.214, 14.1096, 3.2107, 0.1416, , , 
147560, Paul Grauman's"Wild" Summer Sausage, celery seed, 2, tablespoons, , 50.96, 5.3755, 2.3491, 3.2851, , , 
147560, Paul Grauman's"Wild" Summer Sausage, chili powder, 2, tablespoons, , 45.12, 7.952000000000001, 2.1536, 2.2848, , , 
147560, Paul Grauman's"Wild" Summer Sausage, sage, 1, tablespoon, , -, -, -, -, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147562, Turkey & Cranberry Sandwich, turkey breast, 1/2, cup, cooked chopped, -, -, -, -, , , 
147562, Turkey & Cranberry Sandwich, butter, 1, tablespoon, softened, 85.5, 3.9285, 2.6715, 7.2, , , 
147562, Turkey & Cranberry Sandwich, miracle whip, 5, teaspoons, , 22.4, 4.1333, 0.0533, 0.72, , , 
147562, Turkey & Cranberry Sandwich, cranberry sauce, 1, tablespoon, , 27.5269, 6.9942, 0.1558, 0.026000000000000002, , , 
147562, Turkey & Cranberry Sandwich, white bread, 2, slices, , -, -, -, -, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147558, Sloppy Joes, beef, 1, lb, ground, 898.1139999999999, 0.0, 88.0877, 57.7424, , , 
147558, Sloppy Joes, celery, 2, stalks, chopped, 20.48, 3.8016, 0.8832, 0.2176, , , 
147558, Sloppy Joes, onion, 1/2, , chopped, 30.0, 7.005, 0.825, 0.075, , , 
147558, Sloppy Joes, garlic clove, 2, , diced, -, -, -, -, , , 
147558, Sloppy Joes, kidney bean, 2, cans, drained, 160.0, 22.6207, 23.1724, 2.7586, , , 
147558, Sloppy Joes, tomato soup, 2, cans, , 330.5847, 68.982, 6.024, 3.012, , , 
147558, Sloppy Joes, salt, 1/2, teaspoon, , -, -, -, -, , , 
147558, Sloppy Joes, pepper, 1/4, teaspoon, , 1.4432, 0.3677, 0.0597, 0.0187, , , 
147558, Sloppy Joes, sugar, 1, teaspoon, , 18.354, 4.5908, 0.0, 0.0, , , 
147558, Sloppy Joes, hamburger bun, 6, , , -, -, -, -, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147559, Flapper Pie, double graham wafer, 7, , rolled, -, -, -, -, , , 
147559, Flapper Pie, sugar, 1 1/2, cups, , 1208.97, 302.394, 0.0, 0.0, , , 
147559, Flapper Pie, margarine, 1/4, cup, melted, 405.51599999999996, 0.5076, 0.5076, 45.402, , , 
147559, Flapper Pie, cinnamon, 1/2, teaspoon, , -, -, -, -, , , 
147559, Flapper Pie, milk, 2, cups, , 297.68, 23.3264, 15.372, 15.9576, , , 
147559, Flapper Pie, egg yolk save, 2, , , -, -, -, -, , , 
147559, Flapper Pie, cornstarch, 2, tablespoons, , 60.96, 14.6032, 0.0416, 0.008, , , 
147559, Flapper Pie, sugar, 1/4, cup, , 1208.97, 302.394, 0.0, 0.0, , , 
147559, Flapper Pie, vanilla, 1, teaspoon, , 12.095999999999998, 0.5313, 0.0025, 0.0025, , , 
147559, Flapper Pie, egg white, 2, , , 34.32, 0.4818, 7.194, 0.1122, , , 
147559, Flapper Pie, icing sugar, 3, tablespoons, , -, -, -, -, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147565, Vegetable - Stuffed Tomato Bites, plum tomato, 8 -10, , , -, -, -, -, , , 
147565, Vegetable - Stuffed Tomato Bites, blue cheese, 3, tablespoons, crumbled, 217.8, 2.1465, 0.6165, 22.995, , , 
147565, Vegetable - Stuffed Tomato Bites, green onion, 2, tablespoons, sliced, 3.24, 0.6888, 0.1164, 0.0564, , , 
147565, Vegetable - Stuffed Tomato Bites, cream, 2, tablespoons, sour, 47.52, 1.1112, 0.5856, 4.644, , , 
147565, Vegetable - Stuffed Tomato Bites, mayonnaise, 2, tablespoons, , 108.3, 0.0, 0.111, 12.0, , , 
147565, Vegetable - Stuffed Tomato Bites, oregano, 1, teaspoon, snipped snipped, 2.65, 0.6892, 0.09, 0.0428, , , 
147565, Vegetable - Stuffed Tomato Bites, kernel corn, 3/4, cup, thawed frozen, 138.5325, 27.3575, 3.8282, 1.5016, , , 
147565, Vegetable - Stuffed Tomato Bites, jicama, 1/4, cup, chopped peeled, 11.4, 2.6460000000000004, 0.21600000000000003, 0.027000000000000003, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147566, Chicken in Mustard Sauce, purpose flour, 1/4, cup, , -, -, -, -, , , 
147566, Chicken in Mustard Sauce, salt, 1/2, teaspoon, , -, -, -, -, , , 
147566, Chicken in Mustard Sauce, garlic clove, 2, , smashed, -, -, -, -, , , 
147566, Chicken in Mustard Sauce, onion, 1, , chopped, 28.0, 6.537999999999999, 0.77, 0.07, , , 
147566, Chicken in Mustard Sauce, chicken breast, 2, boneless, skinless boneless, -, -, -, -, , , 
147566, Chicken in Mustard Sauce, butter, 1/4, cup, , 342.0, 15.714, 10.686, 28.8, , , 
147566, Chicken in Mustard Sauce, chicken bouillon cube, 1, , , -, -, -, -, , , 
147566, Chicken in Mustard Sauce, water, 1/4, cup, , 0.0, 0.0, 0.0, 0.0, , , 
147566, Chicken in Mustard Sauce, lemon juice, 1/2, tablespoon, , 1.6775, 0.5261, 0.0267, 0.0183, , , 
147566, Chicken in Mustard Sauce, mustard, 3/4, teaspoon, , 0.2362, 0.0409, 0.025, 0.0037, , , 
147566, Chicken in Mustard Sauce, sugar, 1, teaspoon, granulated, 6.6625, 1.2502, 0.2085, 0.10400000000000001, , , 
147566, Chicken in Mustard Sauce, cornstarch, 1/2, tablespoon, , 15.24, 3.6508, 0.0104, 0.002, , , 
147566, Chicken in Mustard Sauce, water, 1, tablespoon, , 0.0, 0.0, 0.0, 0.0, , , 
147566, Chicken in Mustard Sauce, pine nut, , , toasted, -, -, -, -, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147567, Sweet Potato Puffs, potato, 2, lbs, sweet, 698.5331, 158.6668, 18.5973, 0.8165, , , 
147567, Sweet Potato Puffs, orange juice, 1/3, cup, , 37.2, 8.5973, 0.5787, 0.1653, , , 
147567, Sweet Potato Puffs, egg, 1, , beaten, 71.5, 0.36, 6.28, 4.755, , , 
147567, Sweet Potato Puffs, orange, 1, tablespoon, grated rind, 5.2875, 1.3219, 0.1058, 0.0135, , , 
147567, Sweet Potato Puffs, nutmeg, 1/2, teaspoon, ground, 5.775, 0.5422, 0.0642, 0.3994, , , 
147567, Sweet Potato Puffs, pecan, 1/4, cup, chopped, 71.5867, 13.415999999999999, 1.4733, 1.508, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147568, Liscombe Lodge Maple Syrup Cream, gelatin, 1, tablespoon, , -, -, -, -, , , 
147568, Liscombe Lodge Maple Syrup Cream, cold water, 1/4, cup, , 0.0, 0.0, 0.0, 0.0, , , 
147568, Liscombe Lodge Maple Syrup Cream, milk, 1/2, cup, scalded, 276.0, 6.648, 2.748, 28.608, , , 
147568, Liscombe Lodge Maple Syrup Cream, maple syrup, 2/3, cup, , 546.0, 140.784, 0.084, 0.126, , , 
147568, Liscombe Lodge Maple Syrup Cream, salt, 1/8, teaspoon, , -, -, -, -, , , 
147568, Liscombe Lodge Maple Syrup Cream, heavy cream, 2, cups, whipped, 816.0, 6.5760000000000005, 6.816, 86.59200000000001, , , 
147568, Liscombe Lodge Maple Syrup Cream, fruit, , , , -, -, -, -, , , 
147568, Liscombe Lodge Maple Syrup Cream, mint leaf, , , , -, -, -, -, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147569, Saucy sausage casserole, sausage meat, 1, , , 25.2167, 0.0, 5.61, 0.1417, , , 
147569, Saucy sausage casserole, red pepper, 1, , diced, 1.25, 0.2753, 0.0584, 0.0138, , , 
147569, Saucy sausage casserole, green pepper, 1, , diced, 29.8, 6.9136, 1.2814, 0.2533, , , 
147569, Saucy sausage casserole, zucchini, 2, cups, diced, 42.16, 7.7128, 3.0008, 0.7936, , , 
147569, Saucy sausage casserole, onion, 1/2, cup, chopped, 32.0, 7.472, 0.88, 0.08, , , 
147569, Saucy sausage casserole, tomato sauce, 4, cups, canned, -, -, -, -, , , 
147569, Saucy sausage casserole, tomato, 1, can, diced, 40.2099, 8.6898, 1.9658, 0.4468, , , 
147569, Saucy sausage casserole, basil, 1 1/2, 1/2, , 0.3047, 0.0351, 0.0417, 0.0085, , , 
147569, Saucy sausage casserole, oregano, 1 1/2, 1/2, , 3.975, 1.0338, 0.135, 0.0642, , , 
147569, Saucy sausage casserole, garlic, 1, clove, , 4.47, 0.9918, 0.1908, 0.015, , , 
147569, Saucy sausage casserole, penne pasta, 4, cups, cooked, 25.2167, 0.0, 5.61, 0.1417, , , 
147569, Saucy sausage casserole, cheese, 2, cups, grated, 953.1, 6.318, 57.78, 77.598, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147571, Vegetable patties in Pita Pockets, vegetable oil cooking spray, , , , -, -, -, -, , , 
147571, Vegetable patties in Pita Pockets, green onion, 2, tablespoons, minced, 3.24, 0.6888, 0.1164, 0.0564, , , 
147571, Vegetable patties in Pita Pockets, garlic, 2, cloves, smashed, 8.94, 1.9836, 0.3816, 0.03, , , 
147571, Vegetable patties in Pita Pockets, mushroom, 1, cup, chopped, -, -, -, -, , , 
147571, Vegetable patties in Pita Pockets, yellow squash, 1, cup, shredded, -, -, -, -, , , 
147571, Vegetable patties in Pita Pockets, zucchini, 1, cup, shredded, 21.08, 3.8564, 1.5004, 0.3968, , , 
147571, Vegetable patties in Pita Pockets, wheat germ, 1, cup, divided, 414.0, 59.57, 26.6225, 11.177999999999999, , , 
147571, Vegetable patties in Pita Pockets, plain yogurt, 1/2, cup, low-fat, -, -, -, -, , , 
147571, Vegetable patties in Pita Pockets, salt, 1/4, teaspoon, , -, -, -, -, , , 
147571, Vegetable patties in Pita Pockets, wheat pita, 4, , , -, -, -, -, , , 
147571, Vegetable patties in Pita Pockets, alfalfa sprout, 1, cup, , -, -, -, -, , , 
147571, Vegetable patties in Pita Pockets, tomato, 8, slices, unpeeled, 36.8, 8.16, 1.92, 0.32, , , 
147571, Vegetable patties in Pita Pockets, plain yogurt, 2/3, cup, low-fat, -, -, -, -, , , 
147571, Vegetable patties in Pita Pockets, cucumber, 1/4, cup, grated unpeeled, 3.9, 0.9438, 0.16899999999999998, 0.0286, , , 
147571, Vegetable patties in Pita Pockets, cucumber, 2, tablespoons, grated unpeeled, 3.9, 0.9438, 0.16899999999999998, 0.0286, , , 
147571, Vegetable patties in Pita Pockets, parsley, 1 1/2, 1/2, minced, 2.052, 0.3608, 0.1693, 0.045, , , 
147571, Vegetable patties in Pita Pockets, lemon juice, 1 1/2, 1/2, , 5.0325, 1.5784, 0.0801, 0.0549, , , 
147571, Vegetable patties in Pita Pockets, pepper, 1/4, teaspoon, , 1.4432, 0.3677, 0.0597, 0.0187, , , 
147571, Vegetable patties in Pita Pockets, salt, 1/8, teaspoon, , -, -, -, -, , , 
147571, Vegetable patties in Pita Pockets, garlic, 1, clove, smashed, 8.94, 1.9836, 0.3816, 0.03, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147573, Simple Mozzarella- Vegetable Dish, calorie margarine, 2, teaspoons, reduced, -, -, -, -, , , 
147573, Simple Mozzarella- Vegetable Dish, celery, 1/2, cup, sliced, 8.08, 1.4999, 0.3484, 0.0859, , , 
147573, Simple Mozzarella- Vegetable Dish, garlic clove, 1, , minced, 4.47, 0.9918, 0.1908, 0.015, , , 
147573, Simple Mozzarella- Vegetable Dish, zucchini, 1, cup, sliced, -, -, -, -, , , 
147573, Simple Mozzarella- Vegetable Dish, tomato, 1/2, cup, canned crushed, 20.7, 4.59, 1.08, 0.18, , , 
147573, Simple Mozzarella- Vegetable Dish, mozzarella, 2, ounces, low fat, 170.1, 1.2417, 12.5704, 12.6725, , , 
147573, Simple Mozzarella- Vegetable Dish, italian spice, 1, tablespoon, , -, -, -, -, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147570, Apple Cake Squares, wheat flour, 1, cup, , 408.0, 86.36399999999999, 15.852, 3.0, , , 
147570, Apple Cake Squares, salt, 1/4, teaspoon, , -, -, -, -, , , 
147570, Apple Cake Squares, nutmeg, 3/4, teaspoon, , 8.6625, 0.8133, 0.0964, 0.5991, , , 
147570, Apple Cake Squares, baking soda, 1, teaspoon, , 0.0, 0.0, 0.0, 0.0, , , 
147570, Apple Cake Squares, cinnamon, 1, teaspoon, , -, -, -, -, , , 
147570, Apple Cake Squares, sugar, 3, tablespoons, , 165.18599999999998, 41.3172, 0.0, 0.0, , , 
147570, Apple Cake Squares, butter, 3, tablespoons, softened, 256.5, 11.7855, 8.0145, 21.6, , , 
147570, Apple Cake Squares, egg, 2, , , 143.0, 0.72, 12.56, 9.51, , , 
147570, Apple Cake Squares, apple, 2, cups, peeled cored shredded, 130.0, 34.525, 0.65, 0.425, , , 
147570, Apple Cake Squares, date, 1/4, cup, chopped, 103.635, 27.5735, 0.9004, 0.1433, , , 
147570, Apple Cake Squares, confectioner ' sugar, 1/4, cup, , -, -, -, -, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147575, Tuna Salsa Salad, iceberg lettuce, 1/2, , , 5.04, 1.0692, 0.324, 0.0504, , , 
147575, Tuna Salsa Salad, tuna water, 1/2, can, flaked, -, -, -, -, , , 
147575, Tuna Salsa Salad, salsa, 3, tablespoons, , 15.66, 3.5856, 0.8208, 0.0918, , , 
147575, Tuna Salsa Salad, salt pepper, , , , -, -, -, -, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147576, Orange Buns, flour, 3, cups, , 1734.84, 379.8162, 28.203000000000003, 6.7308, , , 
147576, Orange Buns, sugar, 3, tablespoons, , 604.485, 151.197, 0.0, 0.0, , , 
147576, Orange Buns, baking powder, 4, teaspoons, , 9.752, 5.0968, 0.0, 0.0, , , 
147576, Orange Buns, salt, 1 1/2, 1/2, , -, -, -, -, , , 
147576, Orange Buns, butter, 1/3, cup, , 256.5, 11.7855, 8.0145, 21.6, , , 
147576, Orange Buns, egg, 2, , , 143.0, 0.72, 12.56, 9.51, , , 
147576, Orange Buns, orange juice, 3/4, cup, , 83.7, 19.344, 1.3019999999999998, 0.37200000000000005, , , 
147576, Orange Buns, butter, 3, tablespoons, softened, 256.5, 11.7855, 8.0145, 21.6, , , 
147576, Orange Buns, sugar, 3/4, cup, , 604.485, 151.197, 0.0, 0.0, , , 
147576, Orange Buns, orange, 4, teaspoons, grated rind, 7.05, 1.7625, 0.141, 0.018000000000000002, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147572, Sausage stuffed Cremini Mushrooms, cremini mushroom, 12, , , -, -, -, -, , , 
147572, Sausage stuffed Cremini Mushrooms, breadcrumb, 3/4, cup, , -, -, -, -, , , 
147572, Sausage stuffed Cremini Mushrooms, parmesan cheese, 2, tablespoons, grated, 37.0, 4.0, 4.0, 0.5, , , 
147572, Sausage stuffed Cremini Mushrooms, chicken sausage, 2, ounces, , 32.3184, 4.1674, 1.6216, 0.9242, , , 
147572, Sausage stuffed Cremini Mushrooms, onion, 1, , chopped, 60.0, 14.01, 1.65, 0.15, , , 
147572, Sausage stuffed Cremini Mushrooms, red bell pepper, 1, , chopped, -, -, -, -, , , 
147572, Sausage stuffed Cremini Mushrooms, pepper, 1/4, teaspoon, , 1.4432, 0.3677, 0.0597, 0.0187, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147577, Cheddar Baked Bagels and Eggs, bagel, 4, halved, , -, -, -, -, , , 
147577, Cheddar Baked Bagels and Eggs, butter, 2, tablespoons, , 171.0, 7.857, 5.343, 14.4, , , 
147577, Cheddar Baked Bagels and Eggs, egg, 8, , , 572.0, 2.88, 50.24, 38.04, , , 
147577, Cheddar Baked Bagels and Eggs, salt, 1/2, teaspoon, , -, -, -, -, , , 
147577, Cheddar Baked Bagels and Eggs, pepper, 1/2, teaspoon, , 2.8865, 0.7354, 0.1195, 0.0375, , , 
147577, Cheddar Baked Bagels and Eggs, cheddar cheese, 1/2, cup, shredded, -, -, -, -, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147574, Macaroni Cheese & Tomato Casserole, elbow macaroni, 3, cups, , -, -, -, -, , , 
147574, Macaroni Cheese & Tomato Casserole, cheddar cheese, 750, , shredded, -, -, -, -, , , 
147574, Macaroni Cheese & Tomato Casserole, green pepper, 1, , diced, 29.8, 6.9136, 1.2814, 0.2533, , , 
147574, Macaroni Cheese & Tomato Casserole, tomato, 2, cans, diced, 80.4198, 17.3796, 3.9316, 0.8936, , , 
147574, Macaroni Cheese & Tomato Casserole, milk, 3, tablespoons, , 27.45, 2.151, 1.4175, 1.4715, , , 
147574, Macaroni Cheese & Tomato Casserole, butter, 2, tablespoons, , 171.0, 7.857, 5.343, 14.4, , , 
147574, Macaroni Cheese & Tomato Casserole, salt pepper, , , , -, -, -, -, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147578, Corn and Black Bean Dish, corn, 1, can, creamed, 186.9565, 40.6522, 7.1087, 2.9348, , , 
147578, Corn and Black Bean Dish, black bean, 1, can, well-rinsed, 991.8141, 181.3769, 62.8246, 4.1301, , , 
147578, Corn and Black Bean Dish, onion, 1, , chopped, 28.0, 6.537999999999999, 0.77, 0.07, , , 
147578, Corn and Black Bean Dish, garlic powder, 1, teaspoon, minced, 10.261, 2.2546, 0.5131, 0.0226, , , 
147578, Corn and Black Bean Dish, bell pepper, 1, , chopped, -, -, -, -, , , 
147578, Corn and Black Bean Dish, cilantro, , , , -, -, -, -, , , 
147578, Corn and Black Bean Dish, hot sauce, , , , -, -, -, -, , , 
147578, Corn and Black Bean Dish, butter, 1, tablespoon, , 85.5, 3.9285, 2.6715, 7.2, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147579, Orange Glazed Salmon, cajun spice, 3, tablespoons, , -, -, -, -, , , 
147579, Orange Glazed Salmon, brown sugar, 1, teaspoon, , 11.4, 2.9427, 0.0036, 0.0, , , 
147579, Orange Glazed Salmon, kosher salt, 1/4, teaspoon, , -, -, -, -, , , 
147579, Orange Glazed Salmon, vegetable oil, 2, tablespoons, , 234.46400000000003, 0.0, 0.0, 27.2, , , 
147579, Orange Glazed Salmon, salmon fillet, 4, boneless, skinless, -, -, -, -, , , 
147579, Orange Glazed Salmon, orange marmalade, 1/4, cup, , 196.8, 53.04, 0.24, 0.0, , , 
147579, Orange Glazed Salmon, lime juice, 1, tablespoon, , 3.7812, 1.2735, 0.0635, 0.0106, , , 
147579, Orange Glazed Salmon, lime wedge, , , , -, -, -, -, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147580, Lentil Kale and Sausage Soup, olive oil, 2, tablespoons, , 238.68, 0.0, 0.0, 27.0, , , 
147580, Lentil Kale and Sausage Soup, italian sausage, 2, , , 3138.8629, 5.8967, 129.274, 284.2213, , , 
147580, Lentil Kale and Sausage Soup, onion, 1, , chopped, 60.0, 14.01, 1.65, 0.15, , , 
147580, Lentil Kale and Sausage Soup, leek, 1, , sliced, 54.29, 12.5935, 1.335, 0.267, , , 
147580, Lentil Kale and Sausage Soup, carrot, 2, , diced, 104.96, 24.5248, 2.3808, 0.6144, , , 
147580, Lentil Kale and Sausage Soup, garlic clove, 2, , minced, 8.94, 1.9836, 0.3816, 0.03, , , 
147580, Lentil Kale and Sausage Soup, tomato paste, 1, can, , 139.4, 32.147, 7.343999999999999, 0.799, , , 
147580, Lentil Kale and Sausage Soup, coriander, 1, teaspoon, ground, 5.364, 0.9898, 0.2227, 0.3199, , , 
147580, Lentil Kale and Sausage Soup, salt, 1, teaspoon, , -, -, -, -, , , 
147580, Lentil Kale and Sausage Soup, kale, 8, cups, chopped, 62.72, 11.2, 5.4784, 1.1904, , , 
147580, Lentil Kale and Sausage Soup, lentil, 1, can, rinsed drained, 122.3688, 25.5589, 10.3436, 0.6349, , , 
147580, Lentil Kale and Sausage Soup, parmesan cheese, , , grated, -, -, -, -, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147582, Chicken Rice Soup, vegetable oil, 1, tablespoon, , 117.23200000000001, 0.0, 0.0, 13.6, , , 
147582, Chicken Rice Soup, chicken breast, 1/2, , cut, 390.0899, 0.0, 47.2871, 20.9787, , , 
147582, Chicken Rice Soup, onion, 2, , chopped, 128.0, 29.888, 3.52, 0.32, , , 
147582, Chicken Rice Soup, garlic clove, 3, , minced, 13.41, 2.9754, 0.5724, 0.045, , , 
147582, Chicken Rice Soup, shallot, 1, , chopped, 115.2, 26.88, 4.0, 0.16, , , 
147582, Chicken Rice Soup, carrot, 2, , chopped, 104.96, 24.5248, 2.3808, 0.6144, , , 
147582, Chicken Rice Soup, celery, 2, stalks, chopped, 20.48, 3.8016, 0.8832, 0.2176, , , 
147582, Chicken Rice Soup, grain rice, 1/2, cup, uncooked, 337.625, 73.9538, 6.5952, 0.6105, , , 
147582, Chicken Rice Soup, chicken broth, 4, cups, , 312.48, 7.56, 44.5536, 10.4832, , , 
147582, Chicken Rice Soup, water, 4, cups, , 0.0, 0.0, 0.0, 0.0, , , 
147582, Chicken Rice Soup, poultry seasoning, 1/2, teaspoon, , 2.3025, 0.4919, 0.0719, 0.0565, , , 
147582, Chicken Rice Soup, thyme leaf, 1/4, teaspoon, dried, -, -, -, -, , , 
147582, Chicken Rice Soup, salt, 1/2, teaspoon, , -, -, -, -, , , 
147582, Chicken Rice Soup, pepper, 1/4, teaspoon, , 1.4432, 0.3677, 0.0597, 0.0187, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147581, McDonald's Style Chicken McNuggets, chicken breast, 4, , , 3120.7192, 0.0, 378.2965, 167.8294, , , 
147581, McDonald's Style Chicken McNuggets, egg, 1, , , 71.5, 0.36, 6.28, 4.755, , , 
147581, McDonald's Style Chicken McNuggets, water, 1/2, cup, , 0.0, 0.0, 0.0, 0.0, , , 
147581, McDonald's Style Chicken McNuggets, purpose flour, 1, cup, , -, -, -, -, , , 
147581, McDonald's Style Chicken McNuggets, onion powder, 1, teaspoon, , 8.184, 1.8989, 0.2498, 0.025, , , 
147581, McDonald's Style Chicken McNuggets, garlic powder, 1/2, teaspoon, , 5.1305, 1.1273, 0.2565, 0.0113, , , 
147581, McDonald's Style Chicken McNuggets, salt, 1/2, teaspoon, , -, -, -, -, , , 
147581, McDonald's Style Chicken McNuggets, pepper, 1/2, teaspoon, , 2.8865, 0.7354, 0.1195, 0.0375, , , 
147581, McDonald's Style Chicken McNuggets, sugar, 1, pinch, , 1.1471, 0.2869, 0.0, 0.0, , , 
147581, McDonald's Style Chicken McNuggets, vegetable oil, , , , -, -, -, -, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147585, Nif's Instant Pot Macaroni and Cheese, rotini pasta, 1, lb, , 1691.7638, 340.496, 59.4625, 6.8856, , , 
147585, Nif's Instant Pot Macaroni and Cheese, chicken broth, 4, cups, , 312.48, 7.56, 44.5536, 10.4832, , , 
147585, Nif's Instant Pot Macaroni and Cheese, butter, 3, tablespoons, , 256.5, 11.7855, 8.0145, 21.6, , , 
147585, Nif's Instant Pot Macaroni and Cheese, milk, 1 1/2, cups, evaporated, 828.0, 19.944000000000003, 8.244, 85.824, , , 
147585, Nif's Instant Pot Macaroni and Cheese, cheddar cheese, 2, cups, , -, -, -, -, , , 
147585, Nif's Instant Pot Macaroni and Cheese, salt pepper, , , , -, -, -, -, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147584, Apple Pie Filling, baking apple, 18, cups, sliced sliced peeled cored, -, -, -, -, , , 
147584, Apple Pie Filling, lemon juice, 3, tablespoons, , 10.065, 3.1568, 0.1601, 0.1098, , , 
147584, Apple Pie Filling, sugar, 4, cups, , 3223.92, 806.3839999999999, 0.0, 0.0, , , 
147584, Apple Pie Filling, cornstarch, 1, cup, , 487.68, 116.8256, 0.3328, 0.064, , , 
147584, Apple Pie Filling, cinnamon, 2, teaspoons, , -, -, -, -, , , 
147584, Apple Pie Filling, salt, 1, teaspoon, , -, -, -, -, , , 
147584, Apple Pie Filling, nutmeg, 1/4, teaspoon, , 2.8875, 0.2711, 0.0321, 0.1997, , , 
147584, Apple Pie Filling, water, 10, cups, , 0.0, 0.0, 0.0, 0.0, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147586, Sugar Snap Peas With Basil and Lemon, olive oil, 2, teaspoons, , 79.56, 0.0, 0.0, 9.0, , , 
147586, Sugar Snap Peas With Basil and Lemon, sugar snap pea, 1 1/4, 1/4, , -, -, -, -, , , 
147586, Sugar Snap Peas With Basil and Lemon, salt, 1/2, teaspoon, used, -, -, -, -, , , 
147586, Sugar Snap Peas With Basil and Lemon, white pepper, 1/4, teaspoon, , 1.776, 0.4117, 0.0624, 0.0127, , , 
147586, Sugar Snap Peas With Basil and Lemon, basil, 1/3, cup, chopped, 1.84, 0.212, 0.252, 0.0512, , , 
147586, Sugar Snap Peas With Basil and Lemon, lemon zest, 1/2, teaspoon, grated, -, -, -, -, , , 
147586, Sugar Snap Peas With Basil and Lemon, lemon, 1/2, , cut, 0.6404, 0.2058, 0.0243, 0.0066, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147583, Lemon-Rosemary Grilled Pork Tenderloin, pork tenderloin, 375, g, , 450.0, 0.0, 77.4375, 13.2375, , , 
